file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,136,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,137,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,18
style.css,138,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,13
style.css,139,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,37
style.css,140,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,9
style.css,141,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,20
style.css,142,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,9
style.css,143,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,10
style.css,144,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,145,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,146,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,147,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,18
style.css,148,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,17
style.css,149,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,19
style.css,150,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,11
style.css,151,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,152,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,153,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,154,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,18
style.css,155,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,18
style.css,156,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,19
style.css,157,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,11
style.css,158,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
style.css,159,css,c2834d4f,Diego Arevalo Fernandez,2025-02-01,21:55:13,-08:00,2025-02-01T21:55:13-08:00,0,0
